Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,-0.0947124814690743,-0.019151995631083274,0.19193512328559592,
0.008361817,-0.014478481269009413,0.015330258963883292,0.0922565947222278,
0.016754151,-0.07287428892145753,-0.018387648297643278,0.04315342030903224,
0.025177002,-0.150230583480916,-0.045349767075614444,0.034522736247225794,
0.033569336,-0.08954481834723282,-0.005640165222991378,-0.12560446725222008,
0.041931153,0.020307504697213763,0.026139723290357075,-0.25371843708302677,
0.050323487,0.016246003757770966,0.02091177863228566,-0.17232289419767177,
0.058746338,0.01299680300621675,0.01672942290582835,-0.13785831535813742,
0.067138672,0.10232859474872347,0.04402318676216277,-0.232869660099011,
0.075500489,0.02057137189272873,0.03521854940973013,-0.033073071829209155,
0.083892823,-0.10612591029831697,-0.0024648089097158987,0.06548490191163303,
0.092285157,-0.023609224332403644,-0.0019718471277725413,-0.10084694175194286,
0.100677491,-0.08017888337217294,-0.0015774777022179443,-0.203260561214055,
0.10913086,-0.03349125122898833,-0.031913837630524355,-0.009373585689994357,
0.117462159,0.09579000682930938,-0.025531070104419573,0.1763756431667538,
0.12588501,0.1072716539009475,-0.020424856083535392,0.44755803406465233,
0.134246827,0.05517767468325807,-0.016339884866828136,0.4499775795954726,
0.142761231,0.10543364365285646,0.01757994757528758,0.14546790352012806,
0.15109253,-0.00759644445271479,-0.016587897408519847,-0.0062086849963982615,
0.159454346,-0.03671680399967181,-0.04390996636431588,-0.06625845190336932,
0.167816162,0.0625577091440126,-0.004488324653952436,-0.11429826542894617,
0.176239014,0.019406518877710166,-0.0035906597231618598,0.031144395469343777,
0.18460083,-0.10705779271033189,-0.03351217621602931,0.270081532000475,
0.193115235,0.0062849181754844885,-0.02680974097282318,0.18541337013163073,
0.201385498,0.005027934540387635,0.009191855659241632,-0.15812682342594542,
0.209777832,-0.057269156273939914,-0.05393801937885678,-0.24908446655325633,
0.218170166,0.015476178887098069,0.048792943871914574,-0.5363647412113544,
0.226654053,-0.04891056079657152,0.00838249962878157,-0.39845214453158384,
0.234985352,0.02216305526899276,0.006705999703025434,-0.10423534843776672,
0.243347168,0.17096530749644423,-0.05592670414382983,0.19241738531228592,
0.251708985,0.01418923818465545,-0.07538101175256395,0.42975177934357944,
0.260131836,0.011351390547724383,-0.029665160964551074,0.374441071912365,
0.26852417,0.00908111243817955,-0.02373212877164077,0.14633020127989127,
0.277008057,-0.11531811786195645,-0.049625351454812616,0.1783556649301623,
0.285308838,-0.061614845852065225,-0.07035213663260009,0.20397603585038127,
0.293701172,-0.018640021212902202,-0.0562817093060799,0.19382047711780537,
0.302093506,-0.045563872439071784,-0.04502536744486374,0.1550563816942443,
0.310455323,0.08613190986124264,-0.005368438487141081,0.09340545691789615,
0.318908692,0.06890552788899418,0.026344897647787135,0.04407251006556656,
0.327362061,0.02448477387369541,-0.00956373031927038,0.035258008052453604,
0.335662842,0.08087932300520628,0.022988664182083784,-0.15566810527678676,
0.344055176,0.003411954497915093,0.01839093134566694,-0.2777571404714294,
0.35244751,0.0027295635983320965,0.01471274507653364,-0.2528575678458935,
0.360870362,-0.08975970849633441,-0.01886945237627291,0.07353181681703447,
0.369232178,-0.10244741523456757,-0.01509556190101824,0.05882545345362722,
0.377716065,0.009973220156095919,0.01856319891668523,-0.13681414895584787,
0.386016846,-0.08395257621887331,0.014850559133348096,-0.29332583088342723,
0.394439698,-0.06716206097509869,0.011880447306678477,-0.23466066470674107,
0.402862549,0.007561855126171024,-0.02113529059215713,-0.06514552395289286,
0.411254883,-0.02460237136781318,0.013731415963774474,-0.052116419162313576,
0.419586182,0.10290111071824948,0.04163698823976958,-0.011053486892350861,
0.427978516,0.05168124013709963,0.002657735123065663,0.05244871439236931,
0.43637085,0.010693136640929746,0.0021261880984524417,0.1032504754201451,
0.444793702,0.06984601321899386,0.0017009504787619534,-0.07062227591388393,
0.453186036,0.025237162137695113,0.0013607603830094739,-0.02585817229360643,
0.461608887,-0.010462125758593954,0.001088608306407668,0.10189646997761415,
0.469940186,0.022282154861874903,8.708866451261343E-4,0.1734605353570906,
0.47833252,-0.043465780016750055,-0.029942939121399004,0.13876842828567248,
0.486755371,0.026518879892849956,0.037337152609131063,-0.0422201206527113,
0.495147705,-0.04007639999196999,-0.03142178181894506,-0.09506760042841833,
0.503509522,0.029230383912674074,-0.02513742545515596,-0.014762576436485375,
0.512023926,0.05402395556763928,0.04118156354212532,-0.19568457286793794,
0.52029419,0.04321916445411145,0.03294525083370026,-0.12589580282559965,
0.528717041,-0.026716172342960864,-0.004295654801789617,-0.039425138354229006,
0.537078858,-0.02137293787436867,-0.0034365238414317822,-0.031540110683383915,
0.545501709,-0.017098350299494913,-0.0027492190731455146,-0.08652359245295749,
0.553894043,0.01697317522915409,0.0284524802102335,-0.0385792255248667,
0.562316895,-0.07836481919167682,-0.03852951973806329,0.09171962739260664,
0.570678711,-0.06269185535334143,-0.030823615790450454,0.1346672058203353,
0.579040528,0.0417898750923269,0.005980755805139459,0.0770941162187686,
0.587432862,0.002780044605111498,-0.025855043793388433,0.09231494141251417,
0.595855713,0.002224035684089243,-0.020684035034710835,0.16579531250501134,
0.60421753,0.03243108401602146,-0.016547228027768757,0.16327589844150836,
0.612670899,0.05658451565031719,-0.013237782422215183,0.1306207187532067,
0.621002198,0.07591946798900373,-0.010590225937772146,0.13514843047131464,
0.629394532,-0.06184743342129706,-0.008472180750217717,0.10811874437705171,
0.637786866,0.042453205606712396,0.023861903837326004,-0.1586710201233572,
